Operator,Opref,Sitengr,Antennaht,Transtype,Freqband,Powerdbw,Maxpwrdbw,Maxpwrdbm,Sitelat,Sitelng
Orange,GLN0177,TQ2238078590,49,GSM,1800,32,32,,51.492508,-0.236981
Orange,GLN0177,TQ2238078590,49,UMTS,2100,31.1,,65,51.492508,-0.236981
Orange,GLN0178,TQ3087081570,33,GSM,1800,31.5,32,,51.51739,-0.113636
Orange,GLN0178,TQ3087081570,33,UMTS,2100,29.9,,65,51.51739,-0.113636
Orange,GLN0179,TQ2364083840,12.5,GSM,1800,26.8,32,,51.539422,-0.216996
Orange,GLN0179,TQ2364083840,12.5,UMTS,2100,27.9,,65,51.539422,-0.216996
Orange,GLN0180,TQ3100081010,21,GSM,1800,26,32,,51.512327,-0.111971
Orange,GLN0180,TQ3100081010,21,UMTS,2100,27.3,,65,51.512327,-0.111971
Orange,GLN0182,TQ3330084620,36,GSM,1800,29.4,32,,51.544233,-0.077476
Orange,GLN0182,TQ3330084620,36,UMTS,2100,29.9,,65,51.544233,-0.077476
Orange,GLN0183,TQ3300082600,49,GSM,1800,31.9,32,,51.526149,-0.082563
Orange,GLN0183,TQ3300082600,49,UMTS,2100,26.3,,65,51.526149,-0.082563
Orange,GLN0184,TQ3179080850,28,GSM,1800,28.5,32,,51.510705,-0.100652
Orange,GLN0184,TQ3179080850,28,UMTS,2100,29.2,,65,51.510705,-0.100652
Orange,GLN0187,TQ5512085200,24,GSM,1800,26.9,32,,51.543869,0.237239
Orange,GLN0187,TQ5512085200,24,UMTS,2100,28,,65,51.543869,0.237239
Orange,GLN0190,TQ3297079700,60,GSM,1800,31.7,32,,51.500093,-0.08409
Orange,GLN0190,TQ3297079700,60,UMTS,2100,30,,65,51.500093,-0.08409
Orange,GLN0191,TQ3280077800,39,GSM,1800,28.2,32,,51.483056,-0.087253
Orange,GLN0191,TQ3280077800,39,UMTS,2100,27.3,,65,51.483056,-0.087253
Orange,GLN0193,TQ3220080800,27,GSM,1800,26.7,32,,51.51016,-0.094765
Orange,GLN0193,TQ3220080800,27,UMTS,2100,25.6,,65,51.51016,-0.094765
Orange,GLN0194,TQ3502084420,32,GSM,1800,30,32,,51.542027,-0.052761
Orange,GLN0194,TQ3502084420,32,UMTS,2100,28.2,,65,51.542027,-0.052761
Orange,GLN0197,TQ3268080770,34,GSM,1800,30.3,32,,51.509778,-0.087863
Orange,GLN0197,TQ3268080770,34,UMTS,2100,29.5,,65,51.509778,-0.087863
Orange,GLN0198,TQ3302081720,27,GSM,1800,25.6,32,,51.518236,-0.082607
Orange,GLN0198,TQ3302081720,27,UMTS,2100,24.9,,65,51.518236,-0.082607
Orange,GLN0199,TQ3252081120,33,GSM,1800,26,32,,51.512961,-0.090036
Orange,GLN0199,TQ3252081120,33,UMTS,2100,24.2,,65,51.512961,-0.090036
Orange,GLN0201,TQ2269084110,31.5,GSM,1800,30.1,32,,51.542056,-0.230595
Orange,GLN0201,TQ2269084110,31.5,UMTS,2100,30.1,,65,51.542056,-0.230595
Orange,GLN0204,TQ4280071050,13,GSM,1800,26.2,32,,51.419959,0.053958
Orange,GLN0204,TQ4280071050,13,UMTS,2100,26.7,,65,51.419959,0.053958
Orange,GLN0206,TQ4585078150,33,GSM,1800,29.9,32,,51.482987,0.100724
Orange,GLN0206,TQ4585078150,33,UMTS,2100,28.4,,65,51.482987,0.100724
Orange,GLN0207,TQ4425084380,53,GSM,1800,30.9,32,,51.539383,0.080245
Orange,GLN0207,TQ4425084380,53,UMTS,2100,29.1,,65,51.539383,0.080245
Orange,GLN0208,TQ3295080840,32.5,GSM,1800,26,32,,51.510343,-0.083948
Orange,GLN0208,TQ3295080840,32.5,UMTS,2100,26.1,,65,51.510343,-0.083948
Orange,GLN0209,TQ5152087420,40,GSM,1800,31.2,32,,51.564795,0.186316
Orange,GLN0209,TQ5152087420,40,UMTS,2100,30.2,,65,51.564795,0.186316
Orange,GLN0210,TQ4925083500,18.5,GSM,1800,26.3,32,,51.530176,0.151923
Orange,GLN0210,TQ4925083500,18.5,UMTS,2100,29.6,,65,51.530176,0.151923
Orange,GLN0213,TQ3372082330,20,GSM,1800,30.7,32,,51.523553,-0.072292
Orange,GLN0213,TQ3372082330,20,UMTS,2100,30.5,,65,51.523553,-0.072292
Orange,GLN0214,TQ5297082430,14,GSM,1800,26.4,32,,51.519565,0.205052
Orange,GLN0214,TQ5297082430,14,UMTS,2100,28.7,,65,51.519565,0.205052
Orange,GLN0215,TQ3142061600,26,GSM,1800,29,32,,51.337777,-0.113122
Orange,GLN0215,TQ3142061600,26,UMTS,2100,28.8,,65,51.337777,-0.113122
Orange,GLN0216,TQ5720087100,29,GSM,1800,29,32,,51.560365,0.268063
Orange,GLN0218,TL3840000250,16,GSM,1800,26.5,32,,51.68347,0.002205
Orange,GLN0220,TQ0800084950,26,GSM,1800,28.9,32,,51.55261,-0.442103
Orange,GLN0220,TQ0800084950,26,UMTS,2100,29.2,,65,51.55261,-0.442103
Orange,GLN0221,TQ4070068430,33.5,GSM,1800,25.8,32,,51.396938,0.022734
Orange,GLN0221,TQ4070068430,33.5,UMTS,2100,27.9,,65,51.396938,0.022734
Orange,GLN0222,TQ2904063760,44.2,GSM,1800,31.9,32,,51.357737,-0.146491
Orange,GLN0222,TQ2904063760,44.2,UMTS,2100,30.4,,65,51.357737,-0.146491
Orange,GLN0223,TQ3321080960,57,GSM,1800,29.5,32,,51.51136,-0.080158
Orange,GLN0223,TQ3321080960,57,UMTS,2100,27.9,,65,51.51136,-0.080158
Orange,GLN0225,TQ2895058500,15,GSM,1800,28.5,32,,51.31048,-0.149687
Orange,GLN0226,TQ4705068710,45,GSM,1800,27.9,32,,51.397844,0.114074
Orange,GLN0226,TQ4705068710,45,UMTS,2100,27.2,,65,51.397844,0.114074
Orange,GLN0229,TQ1928065930,28,GSM,1800,28.5,32,,51.379376,-0.285883
Orange,GLN0229,TQ1928065930,28,UMTS,2100,28,,65,51.379376,-0.285883
Orange,GLN0230,TQ3360081110,28,GSM,1800,30.3,32,,51.512616,-0.074483
Orange,GLN0230,TQ3360081110,28,UMTS,2100,30.6,,65,51.512616,-0.074483
Orange,GLN0231,TQ3803062840,15,GSM,1800,27.4,32,,51.347355,-0.017797
Orange,GLN0231,TQ3803062840,15,UMTS,2100,28.5,,65,51.347355,-0.017797
Orange,GLN0232,TQ3728066650,26,GSM,1800,27.2,32,,51.381779,-0.027089
Orange,GLN0232,TQ3728066650,26,UMTS,2100,25.6,,65,51.381779,-0.027089
